用語,読み,定義・説明
航空情報パッケージ,こうくうじょうほうパッケージ,国際民間航空条約の航空情報業務に基づいて構成される情報。AIP、NOTAM、AICなどから成る。
AIP,エーアイピー,航空路誌（Aeronautical Information Publication）。運航に必要な諸施設、組織等に関する永続性を持つ最新の航空情報。総則(GEN)、エンルート(ENR)、飛行場(AD)の3章構成。
AIP AMDT,エーアイピーアメンドメント,航空路誌改訂版。AIPに収録される永続性をもつ情報またはAIPの恒久的変更に係る情報。変更部分は太い縦線、矢印又は注釈で表示。
AIP SUP,エーアイピーサプリメント,航空路誌補足版。AIPの一時的変更に係る情報で、有効期間が3ヶ月以上に及ぶものや図面を要するもの。
NOTAM,ノータム,Notice to Airmen / Notice to Air Mission。AIP改訂版又は補足版では包含できない運航情報。
AIC,エーアイシー,航空情報サーキュラー（Aeronautical Information Circular）。AIPへの掲載またはNOTAM発行に適さないが、航空情報として公示する必要がある情報。
AIRAC,エアラック,Aeronautical Information Regulation and Control。運航規程等の変更を世界的に統一された有効日に合わせて配布する方式。28日周期（エアラック周期）。
SWIM,スイム,System-Wide Information Management。世界中の航空関係者が「信用できる情報サービス」を「信頼できる環境」により利用できるシステム横断的な情報管理の仕組み。
トリガーノータム,トリガーノータム,改訂版や補足版の重要な変更を周知するためのNOTAM。
RJJJ,アールジェイジェイジェイ,福岡FIRに関する空域関連情報のNOTAM地点略号。
RJTD,アールジェイティーディー,飛行に影響を及ぼす情報（飛行場に関するものを除く）のNOTAM地点略号。火山、花火、気球、グライダー等。
FIR,エフアイアール,飛行情報区（Flight Information Region）。ICAOが航空交通業務を提供する各国の分担を決めた空域。日本上空は福岡FIRが管轄。
ACC,エーシーシー,航空交通管制部（Area Control Centre）。福岡FIRを分割して航空交通管制業務を行う機関。福岡ACC（高高度）、神戸ACC・東京ACC（低高度）がある。
航空交通管制区,こうくうこうつうかんせいく,地表または水面から200m以上の高さの空域で、航空交通の安全のために指定された空域。ATS空域分類ではクラスE。
進入管制区,しんにゅうかんせいく,管制区のうち、IFR機による出発機や到着機が多い空域に設定。ターミナルレーダー管制業務が提供される。クラスE。
TCA,ティーシーエー,Terminal Control Area。進入管制区のうち、特にVFR機が輻輳する空域に設定。TCAアドバイザリー業務が提供される。クラスE。
特別管制区,とくべつかんせいく,航空交通の輻輳する空域のうち主に特定の飛行場周辺に設定。基本的にIFR機のみ飛行可。クラスA～C。
航空交通管制圏,こうくうこうつうかんせいけん,飛行場に離着陸する航空機のための空域。飛行場及びその上空における航空交通の安全のために指定。クラスD。
航空交通情報圏,こうくうこうつうじょうほうけん,管制圏が設定される空港等以外で指定される空港等付近の上空の空域。飛行場対空援助業務または他飛行場援助業務が提供される。クラスE。
洋上管制区,ようじょうかんせいく,レーダーの電波が到達しない空域で管制を行う空域。
民間訓練試験空域,みんかんくんれんしけんくういき,航空機の試験及び訓練のために、訓練・試験機と他の航空機の航行に係る安全確保を目的とした空域。同時使用は1機まで。
飛行禁止区域,ひこうきんしくいき,告示で指定され、飛行が禁止されている空域。現在該当なし。
飛行制限区域,ひこうせいげんくいき,告示で指定され、飛行の制限を受ける空域。例：福島第1原発周辺など。
クラスA,クラスエー,ATS空域分類の一つ。IFR機のみ許可。日本では那覇空港周囲などに適用。
クラスB,クラスビー,ATS空域分類の一つ。那覇空港周囲に適用。
クラスC,クラスシー,ATS空域分類の一つ。羽田空港周辺などに適用。
クラスD,クラスディー,ATS空域分類の一つ。航空交通管制圏に適用。
クラスE,クラスイー,ATS空域分類の一つ。航空交通管制区、進入管制区、TCA、航空交通情報圏に適用。
クラスG,クラスジー,ATS空域分類の一つ。非管制区域に適用。
ATS,エーティーエス,航空交通業務（Air Traffic Services）。航空機の飛行に関する安全かつ円滑な運航を確保するための業務。管制業務、飛行情報業務、警急業務から構成。
管制業務,かんせいぎょうむ,無線やレーダー機器を使用して航空機に許可や指示を出し、主に航空機間の衝突予防並びに航空交通の秩序を維持促進する業務。
飛行情報業務,ひこうじょうほうぎょうむ,管制業務を行う機関が航空機の運航に必要な情報（気象、航法援助施設の状況、飛行場の状況等）を提供する業務。
警急業務,けいきゅうぎょうむ,航空機が緊急状態、遭難状態、不法行為を受けた場合に航空交通業務を行う機関が行う業務。
FAIB,エフエーアイビー,Flight and Airport Information Base（運航拠点）。航空管制運航情報官の運航援助情報業務の実施拠点。東京FAIBと関西FAIBがある。
AFIS,エーフィス,飛行場対空援助業務。離着陸に必要な情報等を無線電話により提供。空港とその周辺を飛行中の航空機をサポート。
AEIS,エーイーアイエス,Area/En-route Information Service。航行に必要な情報等を無線電話により提供。飛行中の航空機の航行をサポート。
対空センター,たいくうセンター,飛行中の航空機に対し、運航に必要な情報を無線電話により提供する対空援助業務の実施拠点。新千歳対空センター、大阪対空センター等。
航空保安施設,こうくうほあんしせつ,航空機の航行を援助するための施設。航空保安無線施設、航空灯火、昼間障害標識がある。
航空保安無線施設,こうくうほあんむせんしせつ,電波により航空機の航行を援助するための施設。NDB、VOR、TACAN、ILS、DME、SBASなど。
航空灯火,こうくうとうか,灯火により航空機の航行を援助するための施設。航空灯台、飛行場灯火、航空障害灯がある。
昼間障害標識,ちゅうかんしょうがいひょうしき,昼間に航行する航空機に対し、色彩または形象により航行の障害となる物件の存在を認識させるための施設。
NDB,エヌディービー,無指向性無線標識施設（Nondirectional Radio Beacon）。全方位へ無指向性の電波を発射し、ADFで方向を探知。
VOR,ブイオーアール,超短波全方向式無線標識（VHF Omnidirectional Radio range）。VOR局の方位や設定コースとの位置関係を示す。有効範囲は見通し距離。
DME,ディーエムイー,距離測定装置（Distance Measuring Equipment）。DMEまでの距離情報を示す。VORとセットで運用されることが多い。
TACAN,タカン,戦術航法装置（Tactical Air Navigation）。VORとDMEの双方の役割を持つ軍事用の援助施設。UHFを使用。
VORTAC,ボルタック,VORとTACANがセットになった施設。
ILS,アイエルエス,計器着陸用施設（Instrument Landing System）。最終進入中の機体に方向経路・降下経路・位置情報などを与えるシステム。
SBAS,エスバス,衛星航法補強システム（Satellite-Based Augmentation Systems）。GNSSの精度や信頼性を向上させるシステム。日本では準天頂衛星みちびき3号が担当。
ADF,エーディーエフ,自動方向探知機。NDBの方向を探知する機上装置。
航空灯台,こうくうとうだい,夜間または計器気象状態下における航空機の航行を援助する灯火。航空路灯台、地標航空灯台、危険航空灯台がある。
飛行場灯火,ひこうじょうとうか,航空機の離陸又は着陸を支援するための灯火。規則では40個に分類。
航空障害灯,こうくうしょうがいとう,地表又は水面から60m以上の高さの物件に設置する灯火。高光度、中光度白色、中光度赤色、低光度がある。
滑走路標識,かっそうろひょうしき,滑走路上に設けられた標識。滑走路進入端標識、指示標識、接地帯標識、滑走路中心標識等がある。
過走帯,かそうたい,航空機がオーバーランした際に、滑走路端から機体が逸脱することを防ぐエリア。意図的に強度を弱くして機体を停止させる。
風向指示器,ふうこうしじき,飛行場に設置される風向を示す設備。吹流しなど。
宇都宮飛行場,うつのみやひこうじょう,RJTU。陸上自衛隊が管轄する駐屯地。航空学校が設置。妻沼は40NM圏内に位置。TACTNを有する。
入間飛行場,いるまひこうじょう,"RJTJ。航空自衛隊が管轄する基地。妻沼滑空場から最も近い飛行場。管制圏は半径9km圏内・高度6,000ft以下。"
横田飛行場,よこたひこうじょう,RJTY。駐日アメリカ空軍が管轄する基地。VFR機に対してレーダーアドバイザリー業務を提供。
レーダーアドバイザリー業務,レーダーアドバイザリーぎょうむ,VFR機に対する飛行の安全と航空機の動向に関する情報の提供。横田ターミナルエリアで終日利用可能。
A区域,エーくいき,妻沼滑空場の訓練空域。北側の区域。
B区域,ビーくいき,"妻沼滑空場の訓練空域。南側の区域。入間IFR機が3,000ftで飛行するため2,500ft以下に設定。"
KK4-3,ケーケー4-3,"妻沼滑空場付近の民間訓練試験空域。第2滑空場から南側、2,000ft以下で設定。"
RNAV経路,アールナブけいろ,広域航法で用いられる航空路。従来の航空保安無線施設を結ぶルートではなく、任意の2点を直線的に結ぶ。
Y88,ワイ88,"妻沼滑空場上空を通るRNAV経路。最低高度10,000ft。幅は中心から左右5NMずつ。"
関宿VOR/DME,せきやどブイオーアールディーエムイー,妻沼滑空場最寄りのVOR/DME施設。千葉県野田市関宿に所在。
GCA,ジーシーエー,着陸誘導管制（Ground Controlled Approach）。レーダーを用いて航空機を誘導する着陸方式。
NOTAMN,ノータムエヌ,新しい情報を含んだNOTAM。
NOTAMR,ノータムアール,既に発行したNOTAMを変更するNOTAM。
NOTAMC,ノータムシー,既に発行したNOTAMを取消すNOTAM。
