用語,読み,定義・説明
航空法,こうくうほう,国際民間航空条約に準拠し、航空機の航行の安全及び障害防止、航空の発達を図り、公共の福祉を増進することを目的とする法律。
航空法施行令,こうくうほうしこうれい,航空法に基づき内閣が作成した政令。「政令で定める～」の場合に参照する。
航空法施行規則,こうくうほうしこうきそく,航空法と施行令に基づく省令。「国土交通省令で定める～」の場合に参照する。罰則規定はない。
告示,こくじ,航空法令を補填するために大臣により出されるもの。
通達,つうたつ,航空法令に基づき航空局の各部署が出す手順・方式・基準などの詳細を定めるもの。要領・基準・細則・サーキュラーなど。
国際民間航空条約,こくさいみんかんこうくうじょうやく,航空法が準拠する国際条約。国の航空機（軍・税関・警察）は対象外。シカゴ条約とも呼ばれる。
附属書第1,ふぞくしょだいいち,航空機及び装備品等の安全性を確保するための強度、構造及び性能についての基準。
航空機,こうくうき,人が乗って航空の用に供することができる飛行機、回転翼航空機、滑空機、飛行船その他政令で定める機器。【法第2条】
滑空機,かっくうき,位置エネルギーを用いて揚力を得る航空機。動力滑空機、上級滑空機、中級滑空機、初級滑空機に分類。
動力滑空機,どうりょくかっくうき,附属書第1に規定する耐空類別動力滑空機の滑空機。
上級滑空機,じょうきゅうかっくうき,耐空類別曲技A並びに実用Uの滑空機で、中級・初級に該当しないもの。
中級滑空機,ちゅうきゅうかっくうき,耐空類別実用Uの滑空機のうち、曲技飛行と航空機曳航に適さず、ウインチ曳航と自動車曳航に適するもの。
初級滑空機,しょきゅうかっくうき,耐空類別実用Uの滑空機のうち、曲技飛行、航空機曳航、ウインチ曳航、自動車曳航に適さないもの。
航空業務,こうくうぎょうむ,航空機に乗り組んで行うその運航及び整備又は改造の確認。【法第2条】
航空従事者,こうくうじゅうじしゃ,航空従事者技能証明を受けた者。【法第2条】
空港,くうこう,公共の用に供する飛行場。共用空港や軍事目的利用でも指定されれば該当。【空港法】
有視界気象状態,ゆうしかいきしょうじょうたい,VFRで飛行する際に必要な最低気象条件を満たした状態。VMC。【規則第5条】
計器気象状態,けいききしょうじょうたい,有視界気象状態以外の気象状態。IMC。
計器飛行,けいきひこう,航空機の姿勢、高度、位置及び針路の測定を計器にのみ依存して行う飛行。【法第2条】
計器飛行方式,けいきひこうほうしき,国土交通大臣（管制官）からの指示に従って行う飛行方式。IFR。【法第2条】
有視界飛行方式,ゆうしかいひこうほうしき,計器飛行方式以外の飛行方式。航空機の姿勢や位置を目視にて行う方式。VFR。【法第2条】
無人航空機,むじんこうくうき,構造上人が乗ることができない飛行機等で、遠隔操作又は自動操縦により飛行させることができるもの。重量200g未満を除く。
登録,とうろく,航空機登録原簿に機体の情報を記載すること。登録を受けることで日本の国籍を取得する。【法第3条】
新規登録,しんきとうろく,登録を受けていない航空機の登録。【法第5条】
変更登録,へんこうとうろく,定置場、所有者の氏名（名称）と住所に変更があった場合に行う登録。【法第7条】
移転登録,いてんとうろく,航空機の所有者が変更された場合に行う登録。新しい所有者が行う。【法第7条の2】
抹消登録,まっしょうとうろく,航空機登録原簿から記載を削除する登録。日本国籍がなくなることを意味する。【法第8条】
航空機登録証明書,こうくうきとうろくしょうめいしょ,新規登録を受けた際に交付される証明書。航空機が日本国籍を有していることを証明。【法第6条】
登録記号,とうろくきごう,日本での登録記号はJAから始まる6桁の文字列。例：JA2454、JA21AG。
耐空証明,たいくうしょうめい,航空機（初級滑空機以外）が一定の基準を満たしているかを国土交通大臣が検査する法定検査。有効期間は1年。【法第10条】
耐空証明書,たいくうしょうめいしょ,耐空検査合格後に交付される証明書。用途と運用限界の範囲内で運航・整備しているときに有効。
運用限界等指定書,うんようげんかいとうしていしょ,耐空証明時に指定された用途と運用限界を記載した書類。「等」は用途を意味する。
耐空類別,たいくうるいべつ,航空機の用途を示す分類。滑空機は「曲技A」「実用U」がある。【附属書第1】
耐空検査員,たいくうけんさいん,一定の資格と経験を持ち、国土交通大臣から認定された整備士。滑空機の耐空証明を行うことができる。【法第10条の2】
1ヵ月ルール,いっかげつルール,耐空証明の有効期間満了の1ヵ月前から検査を受けられる制度。車検と同じ考え方。
